ID,Limite_Credito,Sexo,Educacion,Estado_Civil,Edad,Pago_Mes_Actual,Pago_Mes_2,Pago_Mes_3,Factura_Mes_1,Factura_Mes_2,Factura_Mes_3,Pago_Realizado_Mes_1,Pago_Realizado_Mes_2,Pago_Realizado_Mes_3,Incumplimiento
1,20000,2,2,1,24,2,2,-1,3913,3102,689,0,689,0,1
2,120000,2,2,2,26,-1,2,0,2682,1725,2682,0,1000,1000,1
3,90000,2,2,2,34,0,0,0,29239,14027,13559,1518,1500,1000,0
4,50000,2,2,1,37,0,0,0,46990,48233,49291,2000,2019,1200,0
5,50000,1,2,1,57,-1,0,-1,8617,5670,35835,2000,36681,10000,0
6,50000,1,1,2,37,0,0,0,64400,57069,57608,2500,1815,657,0
7,500000,1,1,2,29,0,0,0,367965,412023,445007,55000,40000,38000,0
8,100000,2,2,2,23,0,-1,-1,11876,380,601,380,601,0,0
9,140000,2,3,1,28,0,0,2,11285,14096,12108,3329,0,432,0
10,20000,1,3,2,35,-2,-2,-2,0,0,0,0,0,0,0
11,200000,2,3,2,34,0,0,2,11073,9787,5535,2306,12,50,0
12,260000,2,1,2,51,-1,-1,-1,12261,21670,9966,21818,9966,8583,0
13,630000,2,2,2,41,-1,0,-1,12137,6500,6500,1000,6500,6500,0
14,70000,1,2,2,30,1,2,2,65802,67369,65701,3200,0,3000,1
15,250000,1,1,2,29,0,0,0,70887,67060,63561,3000,3000,3000,0
16,50000,2,3,3,23,1,2,0,50614,29173,28116,0,1500,1100,0
17,20000,1,1,2,24,0,0,2,15376,18010,17428,3200,0,1500,1
18,320000,1,1,1,49,0,0,0,253286,246536,194663,10358,10000,75940,0
19,360000,2,1,1,49,1,-2,-2,0,0,0,0,0,0,0
20,180000,2,1,2,29,1,-2,-2,0,0,0,0,0,0,0
21,130000,2,3,2,39,0,0,0,38358,27688,24489,3000,1537,1000,0
22,120000,2,2,1,39,-1,-1,-1,316,316,316,316,316,0,1
23,70000,2,2,2,26,2,0,0,41087,42445,45020,2007,3582,0,1
24,450000,2,1,1,40,-2,-2,-2,5512,19420,1473,19428,1473,560,1
25,90000,1,1,2,23,0,0,0,4744,7070,0,5757,0,5398,0
26,50000,1,3,2,23,0,0,0,47620,41810,36023,1973,1426,1001,0
27,60000,1,1,2,27,1,-2,-1,-109,-425,259,0,1000,0,1
28,50000,2,3,2,30,0,0,0,22541,16138,17163,1300,1300,1000,0
29,50000,2,3,1,47,-1,-1,-1,650,3415,3416,3415,3421,2044,0
30,50000,1,1,2,26,0,0,0,15329,16575,17496,1500,1500,1000,0
31,230000,2,1,2,27,-1,-1,-1,16646,17265,13266,17270,13281,15339,0
32,50000,1,2,2,33,2,0,0,30518,29618,22102,1718,1500,1000,1
33,100000,1,1,2,32,0,0,0,93036,84071,82880,3023,3511,3302,0
34,500000,2,2,1,54,-2,-2,-2,10929,4152,22722,4152,22827,7521,0
35,500000,1,1,1,58,-2,-2,-2,13709,5006,31130,5006,31178,3180,0
36,160000,1,1,2,30,-1,-1,-2,30265,-131,-527,131,396,396,0
37,280000,1,2,1,40,0,0,0,186503,181328,180422,8026,8060,6300,0
38,60000,2,2,2,22,0,0,0,15054,9806,11068,1500,1518,2043,0
39,50000,1,1,2,25,1,-1,-1,0,780,0,780,0,0,1
40,280000,1,1,2,31,-1,-1,2,498,9075,4641,9075,0,9976,0
41,360000,1,1,2,33,0,0,0,218668,221296,206895,10000,7000,6000,0
42,70000,2,1,2,25,0,0,0,67521,66999,63949,3000,4500,4042,0
43,10000,1,2,2,22,0,0,0,1877,3184,6003,1500,2927,1000,0
44,140000,2,2,1,37,0,0,0,59504,61544,62925,3000,3000,3000,0
45,40000,2,1,2,30,0,0,0,18927,21295,25921,3000,5000,0,0
46,210000,1,1,2,29,-2,-2,-2,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,14028,16484,15800,3000,0,16741,1
48,150000,2,5,2,46,0,0,-1,4463,3034,1170,1013,1170,0,1
49,380000,1,2,2,32,-1,-1,-1,22401,21540,15134,21540,15138,24677,0
50,20000,1,1,2,24,0,0,0,17447,18479,19476,1318,1315,704,0
51,70000,1,3,2,42,1,2,2,37042,36171,38355,0,3100,2000,1
52,100000,2,3,3,43,0,0,0,61559,51163,43824,2000,1606,1500,0
53,310000,2,2,1,49,-2,-2,-2,13465,7867,7600,7875,7600,11185,0
54,180000,2,1,2,25,1,2,0,41402,41742,42758,1300,2010,1762,0
55,150000,2,1,2,29,2,0,0,46224,34993,31434,1600,1718,1049,0
56,500000,2,1,1,45,-2,-2,-2,1905,3640,162,3640,162,0,0
57,180000,2,3,1,34,0,0,0,16386,15793,8441,8500,1500,7500,0
